c,i0,p2h,gate,unt,arr_d,flujo04,untreated,treated,adult,child,mape_t5,mape_f8,max_err
2.500,3400,0.0085,0.009164,0.013469,175.68,3806.3,52.0,16.0,32.0,2.0,2.542,20.362,20.362
2.500,3400,0.0090,0.008780,0.012900,183.36,3994.3,53.0,16.0,32.0,1.0,14.931,16.389,16.389
2.500,3400,0.0095,0.008437,0.012391,190.82,4178.8,52.0,17.0,32.0,2.0,4.114,12.488,12.488
2.500,3400,0.0100,0.008120,0.011922,198.27,4359.6,51.0,18.0,33.0,2.0,5.014,8.658,8.658
2.500,3400,0.0110,0.007576,0.011117,212.50,4710.7,53.0,17.0,32.0,2.0,4.599,7.582,7.582
2.500,3400,0.0120,0.007118,0.010440,226.14,5048.1,51.0,18.0,34.0,2.0,5.284,8.998,8.998
2.500,3400,0.0130,0.006729,0.009865,239.27,5372.1,51.0,18.0,33.0,2.0,5.014,12.873,12.873
2.500,3400,0.0140,0.006396,0.009374,251.73,5683.0,51.0,17.0,33.0,2.0,3.441,19.521,19.521
2.500,3400,0.0150,0.006107,0.008948,263.59,5981.4,51.0,17.0,33.0,2.0,3.441,25.917,25.917
2.500,3600,0.0070,0.010193,0.014996,157.95,3375.8,51.0,16.0,33.0,2.0,1.869,29.591,29.591
2.500,3600,0.0080,0.009198,0.013518,175.00,3790.2,54.0,16.0,30.0,2.0,5.012,20.876,20.876
2.500,3600,0.0085,0.008787,0.012909,183.23,3991.6,52.0,16.0,32.0,2.0,2.542,16.636,16.636
2.500,3600,0.0090,0.008415,0.012359,191.32,4189.1,52.0,17.0,33.0,2.0,3.364,12.472,12.472
2.500,3600,0.0095,0.008083,0.011867,199.18,4382.8,52.0,17.0,32.0,2.0,4.114,8.806,8.806
2.500,3600,0.0100,0.007781,0.011420,206.91,4572.8,52.0,18.0,33.0,2.0,4.936,7.803,7.803
2.500,3600,0.0110,0.007257,0.010645,221.86,4941.7,51.0,17.0,33.0,2.0,3.441,7.926,7.926
2.500,3600,0.0120,0.006815,0.009993,236.18,5296.3,48.0,19.0,34.0,2.0,8.310,10.966,10.966
2.500,3600,0.0130,0.006442,0.009442,249.95,5636.9,51.0,17.0,33.0,2.0,3.441,18.213,18.213
2.500,3600,0.0140,0.006122,0.008970,263.05,5964.0,51.0,17.0,34.0,2.0,3.711,25.189,25.189
2.500,3600,0.0150,0.005842,0.008557,275.59,6277.9,51.0,16.0,33.0,2.0,1.869,31.902,31.902
2.500,3800,0.0070,0.009803,0.014418,164.23,3529.0,51.0,17.0,32.0,2.0,4.192,26.511,26.511
2.500,3800,0.0080,0.008846,0.012997,182.00,3962.8,51.0,16.0,33.0,2.0,1.869,17.407,17.407
2.500,3800,0.0085,0.008447,0.012406,190.59,4173.6,51.0,17.0,32.0,2.0,4.192,12.976,12.976
2.500,3800,0.0090,0.008089,0.011875,199.00,4380.4,52.0,17.0,33.0,2.0,3.364,9.306,9.306
2.500,3800,0.0095,0.007766,0.011397,207.32,4583.2,53.0,17.0,32.0,1.0,16.503,7.672,16.503
2.500,3800,0.0100,0.007474,0.010966,215.36,4782.2,51.0,18.0,33.0,2.0,5.014,7.162,7.162
2.500,3800,0.0110,0.006968,0.010219,231.09,5168.7,52.0,17.0,33.0,2.0,3.364,8.855,8.855
2.500,3800,0.0120,0.006544,0.009592,246.09,5540.2,51.0,19.0,34.0,2.0,6.856,15.879,15.879
2.500,3800,0.0130,0.006180,0.009056,260.50,5897.3,53.0,18.0,32.0,2.0,6.171,23.459,23.459
2.500,3800,0.0140,0.005872,0.008602,274.23,6240.2,51.0,17.0,34.0,2.0,3.711,30.758,30.758
2.500,3800,0.0150,0.005603,0.008205,287.32,6569.5,52.0,17.0,34.0,2.0,3.634,37.784,37.784
2.500,4000,0.0070,0.009453,0.013897,170.32,3679.5,52.0,17.0,33.0,2.0,3.364,23.485,23.485
